Freq,Power,Theor.AR(1),chi2 80%,chi2 90%,chi2 95%,chi2 99%,chi2 crit.
0.050355,0.50712,0.66872,1.0276,1.3719,1.7051,2.4545,3.6287
0.050505,0.88003,0.66531,1.0223,1.365,1.6965,2.442,3.6103
0.050655,0.80008,0.66194,1.0171,1.358,1.6879,2.4296,3.592
0.050805,0.72145,0.65859,1.012,1.3512,1.6793,2.4173,3.5738
0.050954,0.31102,0.65527,1.0069,1.3443,1.6709,2.4051,3.5558
0.051104,0.16171,0.65197,1.0018,1.3376,1.6625,2.393,3.5379
0.051254,0.070292,0.6487,0.9968,1.3309,1.6541,2.381,3.5201
0.051404,0.20938,0.64546,0.99182,1.3242,1.6458,2.3691,3.5025
0.051554,0.55427,0.64224,0.98687,1.3176,1.6376,2.3573,3.485
0.051704,1.0488,0.63904,0.98196,1.3111,1.6295,2.3456,3.4677
0.051854,1.2798,0.63587,0.97709,1.3046,1.6214,2.3339,3.4505
0.052003,1.3213,0.63273,0.97225,1.2981,1.6134,2.3224,3.4334
0.052153,0.87572,0.6296,0.96745,1.2917,1.6054,2.3109,3.4165
0.052303,0.64582,0.6265,0.96269,1.2853,1.5975,2.2996,3.3997
0.052453,0.52804,0.62343,0.95797,1.279,1.5897,2.2883,3.383
0.052603,0.74847,0.62038,0.95328,1.2728,1.5819,2.2771,3.3664
0.052753,0.78512,0.61735,0.94862,1.2665,1.5742,2.266,3.35
0.052903,0.71088,0.61434,0.94401,1.2604,1.5665,2.2549,3.3337
0.053053,0.38799,0.61136,0.93942,1.2543,1.5589,2.244,3.3175
0.053202,0.30498,0.6084,0.93487,1.2482,1.5514,2.2331,3.3014
0.053352,0.2367,0.60546,0.93036,1.2422,1.5439,2.2223,3.2855
0.053502,0.33156,0.60255,0.92588,1.2362,1.5364,2.2116,3.2697
